type,date,value,value_kwh,standing_charge,charge_per_kwh,value_gbp
gas,2024-09-28,2.8190000000000004,31.390720790000007,0.2852,0.061,2.2000339681900005
gas,2024-09-29,3.7579999999999987,41.84687077999999,0.2852,0.061,2.8378591175799994
gas,2024-09-30,2.038,22.693965579999997,0.2852,0.061,1.66953190038
gas,2024-10-01,3.0150000000000006,33.57326115000001,0.2852,0.061,2.3331689301500007
gas,2024-10-02,2.2909999999999986,25.511224309999985,0.2852,0.061,1.841384682909999
gas,2024-10-03,2.1179999999999994,23.584798379999995,0.2852,0.061,1.7238727011799995
gas,2024-10-04,2.672999999999999,29.76495092999999,0.2852,0.061,2.1008620067299995
gas,2024-10-05,1.8909999999999998,21.057060309999997,0.2852,0.061,1.5696806789099997
gas,2024-10-06,2.395999999999999,26.68044235999999,0.2852,0.061,1.9127069839599993
gas,2024-10-07,1.654,18.41796814,0.2852,0.061,1.4086960565399997
gas,2024-10-08,1.7449999999999997,19.431290449999995,0.2852,0.061,1.4705087174499996
gas,2024-10-09,1.717,19.119498970000002,0.2852,0.061,1.4514894371700002
gas,2024-10-10,2.3859999999999997,26.569088259999997,0.2852,0.061,1.90591438386
gas,2024-10-11,3.776,42.04730816,0.2852,0.061,2.8500857977600003
gas,2024-10-12,3.358,37.392706780000005,0.2852,0.061,2.5661551135800003
gas,2024-10-13,4.361999999999999,48.57265841999999,0.2852,0.061,3.2481321636199993
gas,2024-10-14,4.3709999999999996,48.672877109999995,0.2852,0.061,3.2542455037099995
gas,2024-10-15,2.7389999999999994,30.499887989999994,0.2852,0.061,2.1456931673899997
gas,2024-10-16,1.4709999999999999,16.38018811,0.2852,0.061,1.28439147471
gas,2024-10-17,1.326,14.765553660000002,0.2852,0.061,1.1858987732600001
gas,2024-10-18,1.4699999999999998,16.369052699999997,0.2852,0.061,1.2837122147
gas,2024-10-19,2.359,26.268432190000002,0.2852,0.061,1.8875743635900002
gas,2024-10-20,2.3699999999999997,26.390921699999996,0.2852,0.061,1.8950462236999996
gas,2024-10-21,2.604,28.99660764,0.2852,0.061,2.05399306604
gas,2024-10-22,2.3400000000000003,26.056859400000004,0.2852,0.061,1.8746684234000002
gas,2024-10-23,2.054,22.872132139999998,0.2852,0.061,1.6804000605399998
gas,2024-10-24,2.211000000000001,24.620391510000015,0.2852,0.061,1.7870438821100008
gas,2024-10-25,1.772,19.73194652,0.2852,0.061,1.4888487377200001
gas,2024-10-26,2.434,27.103587940000004,0.2852,0.061,1.9385188643400002
gas,2024-10-27,3.717,41.39031897,0.2852,0.061,2.81000945717
gas,2024-10-28,3.0580000000000007,34.05208378000001,0.2852,0.061,2.3623771105800007
gas,2024-10-29,2.1549999999999994,23.996808549999994,0.2852,0.061,1.7490053215499994
gas,2024-10-30,2.4909999999999983,27.73830630999998,0.2852,0.061,1.977236684909999
gas,2024-10-31,1.809,20.14395669,0.2852,0.061,1.5139813580900001
gas,2024-11-01,1.9769999999999999,22.01470557,0.2852,0.061,1.62809703977
gas,2024-11-02,2.663999999999999,29.66473223999999,0.2852,0.061,2.0947486666399993
gas,2024-11-03,3.1339999999999986,34.89837493999998,0.2852,0.061,2.414000871339999
gas,2024-11-04,2.743,30.54442963,0.2852,0.061,2.14841020743
gas,2024-11-05,2.5259999999999994,28.128045659999994,0.2852,0.061,2.0010107852599996
gas,2024-11-06,3.042999999999999,33.88505262999999,0.2852,0.061,2.3521882104299996
gas,2024-11-07,2.001,22.28195541,0.2852,0.061,1.64439928001
gas,2024-11-08,2.8620000000000005,31.869543420000007,0.2852,0.061,2.2292421486200005
gas,2024-11-09,4.940999999999998,55.02006080999998,0.2852,0.061,3.641423709409999
gas,2024-11-10,4.074,45.36566034,0.2852,0.061,3.05250528074
gas,2024-11-11,3.1629999999999994,35.221301829999994,0.2852,0.061,2.4336994116299997
